PLAYER NAME,NATIONALITY,RUNS MADE TILL THAT YEAR 
RT Ponting,Australia,196(till1995),929(till1996),1004(till1997),2170(till1998),3208(till1999),3718(till2000),4546(till2001),5428(till2002),6582(till2003),7422(till2004),8613(till2005),9411(till2006),10835(till2007),11113(till2008),12311(till2009),13082(till2010),13686(till2011),13704(till2012),
S Lee,Australia,46(till1995),61(till1996),288(till1999),452(till2000),477(till2001),
MS Kasprowicz,Australia,0(till1995),45(till1997),60(till1998),62(till1999),62(till2003),73(till2004),74(till2005),
GB Hogg,Australia,38(till1996),38(till2002),264(till2003),412(till2004),507(till2005),620(till2006),705(till2007),790(till2008),
JN Gillespie,Australia,8(till1996),65(till1997),81(till1999),105(till2000),114(till2001),160(till2002),167(till2003),223(till2004),289(till2005),
DS Lehmann,Australia,17(till1996),27(till1997),706(till1998),1527(till1999),1727(till2001),2247(till2002),2714(till2003),2989(till2004),3078(till2005),
AC Gilchrist,Australia,18(till1996),304(till1997),1135(till1998),2376(till1999),3102(till2000),3848(till2001),4684(till2002),5782(till2003),6661(till2004),7553(till2005),8363(till2006),9297(till2007),9619(till2008),
AJ Bichel,Australia,42(till1997),99(till1998),191(till2002),434(till2003),471(till2004),
AM Stuart,Australia,1(till1997),
AC Dale,Australia,38(till1997),44(till1998),63(till1999),78(till2000),
MJ Di Venuto,Australia,241(till1997),
MTG Elliott,Australia,1(till1997),
IJ Harvey,Australia,8(till1997),101(till1998),202(till2000),363(till2001),429(till2002),602(till2003),715(till2004),
P Wilson,Australia,0(till1997),4(till1998),
JP Maher,Australia,21(till1998),249(till2002),438(till2003),
BE Young,Australia,31(till1998),31(till1999),
A Symonds,Australia,0(till1998),158(till1999),477(till2000),693(till2001),750(till2002),1484(till2003),2287(till2004),3102(till2005),3863(till2006),4671(till2007),5006(till2008),5088(till2009),
B Lee,Australia,68(till2000),80(till2001),234(till2002),319(till2003),381(till2004),537(till2005),707(till2006),763(till2007),855(till2008),897(till2009),957(till2011),1176(till2012),
SCG MacGill,Australia,1(till2000),
NW Bracken,Australia,0(till2001),7(till2003),31(till2005),103(till2006),147(till2007),164(till2008),199(till2009),
